
DLCT Table for S-Box 1:
      0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
    ----------------------------------------------------------------
 0 | 64  64  64  64  64  64  64  64  64  64  64  64  64  64  64  64
 1 | 64  28  28  28  32  28  24  24  16  28  24  40  28  32  40  48
 2 | 64  28  28  32  28  24  20  32  20  24  24  36  32  36  40  44
 3 | 64  44  48  36  36  36  36  36  44  36  40  40  28  32  32  36
 4 | 64  24  24  20  20  32  28  44  32  28  28  36  24  32  36  40
 5 | 64  36  36  28  28  28  32  20  32  28  32  24  44  36  36  40
 6 | 64  32  32  40  28  32  36  24  28  36  32  24  28  16  24  36
 7 | 64  36  20  20  36  36  32  28  36  32  28  28  32  32  32  36
 8 | 64  20  24  36  28  20  24  40  32  28  24  28  28  36  32  48
 9 | 64  44  32  36  28  40  36  24  28  36  40  24  40  32  36  52
10 | 64  32  32  24  32  36  36  24  32  28  36  16  32  24  24  40
11 | 64  20  28  40  32  24  32  32  24  36  32  28  40  24  28  44
12 | 64  32  24  20  24  20  28  44  20  24  32  40  36  36  28  40
13 | 64  20  32  32  40  32  28  32  44  32  36  36  28  36  32  36
14 | 64  28  32  28  36  36  28  28  36  36  28  28  32  20  16  36
15 | 64  28  32  28  24  32  36  36  24  36  32  36  32  32  20  36
16 | 64  20  16  36  24  32  36  28  16  32  32  40  24  44  44  24
17 | 64  32  32  32  36  32  32  36  44  32  36  32  24  24  44  28
18 | 64  32  36  32  32  24  32  28  36  24  32  24  24  36  32  24
19 | 64  28  20  36  32  32  28  32  28  32  32  32  36  28  40  28
20 | 64  40  40  28  32  28  28  28  32  36  28  28  32  24  32  12
21 | 64  24  20  36  32  32  36  36  32  32  28  28  28  36  32  16
22 | 64  24  28  32  40  40  36  32  36  28  20  24  40  24  24  20
23 | 64  36  44  32  32  32  20  28  32  36  36  32  28  36  32  24
24 | 64  32  36  28  32  28  20  24  28  36  36  28  28  32  36  24
25 | 64  24  40  28  32  36  36  44  32  24  24  28  28  32  32  24
26 | 64  32  32  28  20  36  40  28  32  28  32  24  32  28  28  28
27 | 64  36  36  36  28  28  32  36  40  32  36  32  24  28  28  28
